case_id,received_at,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,free_text_summary,handler_notes,historical_outcome
C-00192,2024-10-22T14:14:27+00:00,SMB,UK,Advisory,50k-250k,True,Operational risk assessment requested. Timeline not specified.,Handler flagged missing attachments. Clarify scope and deliverables.,Accepted
C-00265,2024-10-24T19:08:57+00:00,SMB,EU,Legal,50k-250k,False,Employment dispute raised by former contractor. Evidence currently limited. No policy documents attached. Conflicting information reported by client.,Duplicate of earlier report suspected.,Accepted
C-00289,2024-11-16T09:52:55+00:00,SMB,UK,Advisory,>1m,False,Client seeks decision support on risk controls. Regulator engagement anticipated. regulator visit.,Handler flagged missing attachments.,Escalated
C-00337,2024-10-04T13:37:31+00:00,SMB,US,Insurance,50k-250k,True,Incident reported at commercial premises. Theft of equipment reported. storm damage. Police reference number provided.,"Potential conflict in dates, needs review.",Settled
C-00724,2024-12-13T11:55:38+00:00,SMB,US,Insurance,250k-1m,True,Business interruption may apply. Basement affected. ip infringement.,,Unknown
C-00751,2024-11-18T17:44:01+00:00,SMB,Other,Legal,Unknown,True,Employment dispute raised by former contractor. Multiple parties named. Police reference number provided.,Duplicate of earlier report suspected.,Unknown
C-00796,2024-10-19T03:06:37+00:00,Mid-Market,UK,Legal,>1m,True,Dispute escalated to legal threat. Evidence currently limited. injunction. Supporting documents attached. Conflicting information reported by client.,No additional notes.,Unknown
C-01000,2024-10-20T18:15:45+00:00,Mid-Market,EU,Insurance,>1m,True,Client reports storm-related damage. Fire damage to warehouse. subsidence.,No additional notes.,Unknown
C-01002,2024-10-31T11:15:22+00:00,SMB,UK,Insurance,250k-1m,False,Damage reported following heavy rainfall. Theft of equipment reported. flood zone 3. No policy documents attached.,"Potential conflict in dates, needs review.",Accepted
C-01027,2024-10-08T23:48:09+00:00,Mid-Market,UK,Insurance,<50k,True,Incident reported at commercial premises. Basement affected. low value. Loss adjuster appointed.,"Potential conflict in dates, needs review. Check coverage exclusions.",Settled
C-01043,2024-12-26T19:11:33+00:00,Mid-Market,EU,Insurance,250k-1m,True,Damage reported following heavy rainfall. Roof compromised. flood zone.,Handler flagged missing attachments.,Rejected
C-01250,2024-10-14T01:14:27+00:00,Mid-Market,UK,Insurance,Unknown,False,Loss event impacting property and contents. Fire damage to warehouse. small crack.,"Potential conflict in dates, needs review.",Unknown
C-01253,2024-12-15T03:21:41+00:00,Enterprise,UK,Legal,>1m,True,Dispute escalated to legal threat. Evidence currently limited. prior losses. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Unknown
C-01491,2024-10-24T20:17:41+00:00,Mid-Market,UK,Insurance,50k-250k,True,Damage reported following heavy rainfall. Basement affected. Policy schedule attached. Overseas elements present.,Handler flagged missing attachments.,Unknown
C-01628,2024-11-25T09:42:38+00:00,Mid-Market,US,Legal,250k-1m,True,Dispute escalated to legal threat. Multiple parties named. regulator visit. Policy schedule attached.,Handler flagged missing attachments.,Escalated
C-01697,2024-10-12T08:43:07+00:00,SMB,EU,Legal,<50k,True,Dispute escalated to legal threat. Governing law unclear. Police reference number provided.,,Unknown
C-01838,2024-12-22T06:00:01+00:00,Enterprise,EU,Insurance,250k-1m,True,Client reports storm-related damage. Roof compromised. data protection incident.,Duplicate of earlier report suspected.,Accepted
C-01929,2024-11-24T15:04:02+00:00,Enterprise,Other,Insurance,50k-250k,True,Client reports storm-related damage. Basement affected. storm damage.,,Accepted
C-02183,2024-11-16T18:55:39+00:00,Enterprise,UK,Insurance,>1m,True,Client reports storm-related damage. Theft of equipment reported. hurricane. Supporting documents attached.,No additional notes. Check coverage exclusions.,Escalated
C-02227,2024-11-21T00:59:42+00:00,Mid-Market,US,Insurance,50k-250k,True,Client reports storm-related damage. Fire damage to warehouse. Policy schedule attached.,,Unknown
C-02257,2024-12-09T02:32:59+00:00,Mid-Market,US,Insurance,<50k,True,Damage reported following heavy rainfall. Theft of equipment reported. small crack. Loss adjuster appointed.,,Unknown
C-02428,2024-12-27T18:47:14+00:00,SMB,UK,Insurance,50k-250k,True,Business interruption may apply. Fire damage to warehouse. flood zone. Loss adjuster appointed.,Client requested urgent callback.,Unknown
C-02430,2024-11-05T19:15:43+00:00,SMB,UK,Advisory,<50k,True,Strategic risk review requested following acquisition. Stakeholders across multiple regions. Policy schedule attached.,Caller sounded uncertain; follow-up likely required.,Unknown
C-02467,2024-10-14T20:29:28+00:00,SMB,UK,Legal,>1m,True,Dispute escalated to legal threat. Jurisdiction disputed. flood zone 3.,Client requested urgent callback. Consider limitation periods.,Unknown
C-02509,2024-12-06T20:43:02+00:00,Mid-Market,UK,Insurance,>1m,False,Client reports storm-related damage. Basement affected. Evidence not yet supplied.,"Potential conflict in dates, needs review.",Unknown
C-02568,2024-11-30T19:35:33+00:00,SMB,US,Legal,>1m,False,Dispute escalated to legal threat. Jurisdiction disputed. No policy documents attached.,Duplicate of earlier report suspected.,Settled
C-02646,2024-11-05T08:26:18+00:00,Mid-Market,Other,Legal,50k-250k,True,Dispute escalated to legal threat. Governing law unclear. Cross-border considerations likely.,Client requested urgent callback. Consider limitation periods.,Accepted
C-02719,2024-10-05T00:03:31+00:00,SMB,US,Insurance,250k-1m,False,Client reports storm-related damage. Basement affected. No supporting documentation provided.,,Unknown
C-02743,2024-12-12T10:23:26+00:00,SMB,UK,Legal,50k-250k,True,Formal letter received from counterparty. Multiple parties named. breach of contract. Jurisdiction noted as UK.,Handler flagged missing attachments.,Escalated
C-02868,2024-12-26T20:55:13+00:00,SMB,UK,Advisory,50k-250k,False,Client seeks decision support on risk controls. No immediate dispute. No supporting documentation provided. Conflicting information reported by client.,,Unknown
C-02875,2024-11-19T17:22:57+00:00,Enterprise,,Advisory,>1m,False,Strategic risk review requested following acquisition. Regulator engagement anticipated. No policy documents attached.,Client requested urgent callback.,Escalated
C-02914,2024-12-10T16:13:46+00:00,SMB,EU,Insurance,250k-1m,False,Damage reported following heavy rainfall. Water ingress noted. data protection incident. No supporting documentation provided.,,Accepted
C-03059,2024-12-14T00:54:49+00:00,SMB,UK,Advisory,<50k,True,Client seeks decision support on risk controls. No immediate dispute. no supporting documentation. Police reference number provided.,"Potential conflict in dates, needs review.",Accepted
C-03208,2024-11-12T14:50:41+00:00,Mid-Market,UK,Legal,250k-1m,True,Employment dispute raised by former contractor. Multiple parties named. breach of contract. Jurisdiction noted as UK.,,Accepted
C-03240,2024-10-19T06:06:06+00:00,SMB,EU,Insurance,250k-1m,True,Loss event impacting property and contents. Fire damage to warehouse. regulator visit. Police reference number provided.,Client requested urgent callback. Check coverage exclusions.,Accepted
C-03290,2024-12-05T19:11:18+00:00,SMB,EU,Advisory,<50k,True,Strategic risk review requested following acquisition. Regulator engagement anticipated. Supporting documents attached.,,Unknown
C-03321,2024-11-21T04:05:40+00:00,Mid-Market,UK,Legal,250k-1m,False,Employment dispute raised by former contractor. Jurisdiction disputed. regulator visit.,Client requested urgent callback.,Unknown
C-03411,2024-11-07T12:03:17+00:00,Mid-Market,US,Advisory,50k-250k,False,Client requesting advice on regulatory exposure. Stakeholders across multiple regions. governing law unclear.,Caller sounded uncertain; follow-up likely required.,Escalated
C-03432,2024-12-03T00:35:01+00:00,SMB,UK,Legal,50k-250k,True,Formal letter received from counterparty. Time-sensitive response required.,,Unknown
C-03459,2024-10-22T11:05:09+00:00,SMB,US,Insurance,50k-250k,True,Loss event impacting property and contents. Theft of equipment reported. Loss adjuster appointed. Conflicting information reported by client.,Client requested urgent callback.,Unknown
C-03464,2024-12-08T10:14:30+00:00,SMB,US,Insurance,250k-1m,True,Loss event impacting property and contents. Basement affected. Policy schedule attached.,No additional notes.,Unknown
C-03470,2024-11-01T06:53:29+00:00,Mid-Market,UK,Advisory,250k-1m,False,Strategic risk review requested following acquisition. Regulator engagement anticipated. injunction. Cross-border considerations likely.,,Accepted
C-03560,2024-11-04T07:33:39+00:00,Enterprise,UK,Advisory,250k-1m,True,Operational risk assessment requested. Timeline not specified. hurricane. Overseas elements present.,Client requested urgent callback.,Unknown
C-03568,2024-10-10T12:35:43+00:00,Mid-Market,UK,Legal,250k-1m,True,Potential breach of contract raised. Governing law unclear. subsidence. Conflicting information reported by client.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Escalated
C-03691,2024-11-15T05:56:14+00:00,SMB,Other,Insurance,>1m,True,Client reports storm-related damage. Roof compromised. regulator visit.,Duplicate of earlier report suspected.,Escalated
