,case_id,expected_priority,expected_action,notes,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,historical_outcome,severe_legal_or_regulatory_risk,business_critical_impact,potential_fraud,conflicting_information,complex_incident_details,policy_interpretation_issues,legal_disputes,jurisdictional_complexity,coverage_terms_unclear,exclusions_may_apply,new_or_unusual_claim_type,unclear_incident_description,claim_invalid_or_fraudulent,required_conditions_not_met,has_regulator_involvement,has_cross_border_elements,has_time_sensitivity,has_missing_documentation,mentions_fraud_or_arson,risk_summary
0,C-03470,P0,Immediate escalation,synthetic gold; risk=0.82,Mid-Market,UK,Advisory,250k-1m,No,Accepted,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,"The claim involves significant regulatory risk due to an upcoming engagement with regulators and cross-border considerations, along with an injunction that adds urgency to the situation."
1,C-19557,P0,Immediate escalation,synthetic gold; risk=1.00,Enterprise,EU,Insurance,>1m,yes,Accepted,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves significant business interruption risk due to fire damage to a warehouse, and potential policy exclusions related to being in flood zone 3 may affect coverage."
2,C-03560,P0,Immediate escalation,synthetic gold; risk=0.80,Enterprise,UK,Advisory,250k-1m,yes,Unknown,No,No data available,No,No,Yes,No,No,Yes,No,No,No,No,No,No data available,No,Yes,No data available,No,No,"The claim involves a hurricane scenario with overseas elements, indicating potential complexity in jurisdictional issues but no severe legal risks or indications of fraud."
3,C-04657,P0,Immediate escalation,synthetic gold; risk=0.85,Enterprise,UK,Advisory,>1m,No,Escalated,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,"The claim indicates unclear scope and missing documentation, which may complicate compliance analysis and raise issues in policy interpretation."
4,C-00796,P0,Immediate escalation,synthetic gold; risk=0.94,Mid-Market,UK,Legal,>1m,yes,Unknown,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"The claim has escalated to a legal dispute with a court injunction, indicating severe legal risk, compounded by conflicting information provided by the client."
5,C-09848,P0,Immediate escalation,synthetic gold; risk=0.86,SMB,US,Legal,>1m,yes,Unknown,No,No data available,No data available,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No data available,No,Yes,"The claim presents complex incident details with a disputed jurisdiction and potential cross-border implications. Additionally, there are legal disputes involved, and there are mentions of police reference which may indicate fraudulent aspects."
6,C-01628,P0,Immediate escalation,synthetic gold; risk=0.85,Mid-Market,US,Legal,250k-1m,yes,Escalated,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,"The claim involves a legal threat and has escalated due to multiple parties being named, indicating significant legal and regulatory risk, particularly with regulator involvement."
7,C-02183,P0,Immediate escalation,synthetic gold; risk=0.90,Enterprise,UK,Insurance,>1m,yes,Escalated,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim indicates storm-related damage and theft of equipment, raising concerns of potential fraud. Business critical impact is noted due to significant loss from the storm."
8,C-19227,P0,Immediate escalation,synthetic gold; risk=0.86,Mid-Market,UK,Legal,>1m,yes,Settled,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"The claim involves a potential breach of contract, indicating legal disputes as a key concern, with time sensitivity requiring immediate attention."
9,C-10731,P0,Immediate escalation,synthetic gold; risk=0.83,SMB,UK,Legal,250k-1m,yes,Escalated,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No data available,No data available,No,No,No data available,No data available,Yes,No data available,No,No,"The claim involves a disputed jurisdiction related to an IP infringement allegation in the UK, alongside a major fire incident, indicating potential severe legal and regulatory risks and significant business impact."
10,C-10102,P0,Immediate escalation,synthetic gold; risk=0.85,Mid-Market,US,Legal,250k-1m,yes,Unknown,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"The claim involves an employment dispute with jurisdiction in question, indicating legal complexity and conflicting information that may require careful assessment."
11,C-09460,P0,Immediate escalation,synthetic gold; risk=0.92,Mid-Market,UK,Insurance,>1m,No,Escalated,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,"The claim indicates a significant risk due to a fire incident resulting in roof damage at a commercial premises, with evidence yet to be supplied, raising concerns about potential business impact and missing documentation."
12,C-01253,P0,Immediate escalation,synthetic gold; risk=0.92,Enterprise,UK,Legal,>1m,yes,Unknown,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves a legal dispute escalation, indicating a severe legal risk and prior losses may suggest that exclusions could apply."
13,C-05030,P0,Immediate escalation,synthetic gold; risk=0.88,SMB,UK,Insurance,>1m,yes,Settled,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim involves business interruption due to fire damage to a warehouse, indicating a potential for significant financial impact."
14,C-13405,P0,Immediate escalation,synthetic gold; risk=0.83,Enterprise,US,Legal,250k-1m,yes,Settled,No,No,No,No,No,Yes,Yes,Yes,No,No data available,No,No,No,No data available,No data available,Yes,No,No,No,"The claim presents risks associated with a potential breach of contract and unclear governing law, indicating possible legal disputes and jurisdictional complexity."
15,C-10343,P0,Immediate escalation,synthetic gold; risk=0.93,Mid-Market,US,Legal,250k-1m,No,Unknown,No,No,No,No data available,No,No,Yes,No,No,No data available,No,No,No,No data available,No,No,No data available,Yes,Yes,"The claim involves a formal letter from a counterparty related to a fire incident, indicating some legal dispute. Evidence is currently limited, suggesting potential issues with documentation and possible arson."
16,C-02568,P0,Immediate escalation,synthetic gold; risk=0.84,SMB,US,Legal,>1m,No,Settled,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,"The claim involves legal disputes with jurisdictional complexity, and there are issues related to missing documentation and policy interpretation. This raises concerns regarding compliance and the potential for escalation."
17,C-18541,P0,Immediate escalation,synthetic gold; risk=0.95,Enterprise,UK,Advisory,>1m,yes,Escalated,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,"The claim involves a data protection incident with potential regulatory exposure and cross-border implications, requiring careful consideration of legal obligations."
18,C-06679,P0,Immediate escalation,synthetic gold; risk=0.82,Mid-Market,UK,Advisory,250k-1m,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No data available,No,Yes,No,No,"The claim involves a court injunction indicating potential severe legal or regulatory risk. However, there are no immediate disputes or indications of business-critical impact."
19,C-09875,P0,Immediate escalation,synthetic gold; risk=1.00,Mid-Market,UK,Legal,>1m,No,Escalated,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"The claim involves an employment dispute with jurisdiction issues and missing evidence, indicating complexity and potential for legal escalation."
20,C-02875,P0,Immediate escalation,synthetic gold; risk=0.85,Enterprise,No data Available,Advisory,>1m,No,Escalated,Yes,No data available,No,No,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No,Yes,No data available,No data available,Yes,No,"The claim presents severe regulatory risks due to anticipated regulator engagement following an acquisition, and it lacks necessary policy documentation."
21,C-17171,P0,Immediate escalation,synthetic gold; risk=0.91,SMB,UK,Legal,250k-1m,No,Unknown,Yes,No data available,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No data available,No,No,Yes,No,No,"The claim involves a potential breach of contract with disputed jurisdiction and conflicting information, raising severe legal risk and immediate concerns due to an injunction."
