case_id,received_at,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,free_text_summary,handler_notes,historical_outcome
C-00001,2024-11-05T12:07:00+00:00,SMB,UK,Legal,<50k,true,Employment dispute raised by former contractor. Multiple parties named. Policy schedule attached.,,Settled
C-00002,2024-10-30T22:48:53+00:00,SMB,US,Insurance,<50k,true,Business interruption may apply. Roof compromised. no supporting documentation.,"Potential conflict in dates, needs review.",Accepted
C-00003,2024-11-03T08:21:22+00:00,SMB,US,Insurance,<50k,true,Loss event impacting property and contents. Water ingress noted. Loss adjuster appointed. Overseas elements present.,No additional notes. Check coverage exclusions.,Rejected
C-00004,2024-10-07T07:27:39+00:00,Mid-Market,UK,Insurance,<50k,false,Damage reported following heavy rainfall. Water ingress noted.,Caller sounded uncertain; follow-up likely required.,Rejected
C-00005,2024-10-27T23:24:43+00:00,SMB,US,Insurance,<50k,true,Incident reported at commercial premises. Fire damage to warehouse. Loss adjuster appointed.,,Unknown
C-00006,2024-12-07T00:58:00+00:00,SMB,UK,Insurance,50k-250k,false,Business interruption may apply. Theft of equipment reported.,Handler flagged missing attachments.,Unknown
C-00007,2024-10-15T16:28:22+00:00,SMB,UK,Insurance,<50k,true,Business interruption may apply. Basement affected. Jurisdiction noted as UK.,Client requested urgent callback.,Unknown
C-00008,2024-12-07T04:36:32+00:00,SMB,UK,Legal,250k-1m,true,Dispute escalated to legal threat. Evidence currently limited. storm damage. Policy schedule attached.,Client requested urgent callback.,Unknown
C-00009,2024-10-24T05:48:49+00:00,Mid-Market,EU,Legal,250k-1m,true,IP infringement allegation received. Jurisdiction disputed. ip infringement. Policy schedule attached.,Handler flagged missing attachments.,Settled
C-00010,2024-12-21T14:21:24+00:00,SMB,UK,Insurance,50k-250k,false,Damage reported following heavy rainfall. Fire damage to warehouse. Evidence not yet supplied. Cross-border considerations likely.,,Accepted
C-00011,2024-10-15T16:12:23+00:00,SMB,Other,Legal,<50k,true,Employment dispute raised by former contractor. Time-sensitive response required. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required.,Unknown
C-00012,2024-12-14T03:30:10+00:00,SMB,US,Insurance,<50k,true,Business interruption may apply. Water ingress noted. low value. Cross-border considerations likely.,Handler flagged missing attachments.,Rejected
C-00013,2024-12-10T09:49:22+00:00,SMB,UK,Legal,<50k,true,Potential breach of contract raised. Evidence currently limited. no supporting documentation.,"Potential conflict in dates, needs review. Consider limitation periods.",Rejected
C-00014,2024-11-21T18:38:42+00:00,Mid-Market,EU,Insurance,50k-250k,true,Loss event impacting property and contents. Theft of equipment reported.,,Unknown
C-00015,2024-12-09T12:40:48+00:00,SMB,EU,Legal,>1m,true,Formal letter received from counterparty. Jurisdiction disputed. major fire. Jurisdiction noted as EU.,"Potential conflict in dates, needs review. Consider limitation periods.",Escalated
C-00016,2024-11-30T13:51:19+00:00,SMB,EU,Insurance,<50k,true,Client reports storm-related damage. Theft of equipment reported. Supporting documents attached.,,Unknown
C-00017,2024-10-06T14:02:47+00:00,SMB,US,Legal,250k-1m,true,Dispute escalated to legal threat. Time-sensitive response required. Policy schedule attached.,,Unknown
C-00018,2024-10-26T10:15:36+00:00,Mid-Market,UK,Legal,>1m,false,Potential breach of contract raised. Jurisdiction disputed. injunction.,,Unknown
C-00019,2024-11-11T23:02:48+00:00,SMB,UK,Advisory,<50k,false,Operational risk assessment requested. Regulator engagement anticipated. Evidence not yet supplied.,,Accepted
C-00020,2024-11-19T02:55:56+00:00,Enterprise,UK,Insurance,50k-250k,true,Client reports storm-related damage. Theft of equipment reported. breach of contract. Supporting documents attached. Overseas elements present.,,Accepted
C-00021,2024-12-19T07:51:04+00:00,SMB,EU,Insurance,250k-1m,true,Damage reported following heavy rainfall. Roof compromised. hurricane. Police reference number provided.,"Potential conflict in dates, needs review.",Accepted
C-00022,2024-11-30T21:47:23+00:00,Mid-Market,EU,Insurance,250k-1m,false,Loss event impacting property and contents. Theft of equipment reported. storm damage. Conflicting information reported by client.,No additional notes.,Unknown
C-00023,2024-12-06T02:03:44+00:00,SMB,US,Legal,50k-250k,false,Dispute escalated to legal threat. Time-sensitive response required. business interruption.,Caller sounded uncertain; follow-up likely required.,Rejected
C-00024,2024-10-28T21:30:07+00:00,Mid-Market,UK,Advisory,<50k,false,Client requesting advice on regulatory exposure. Regulator engagement anticipated. Evidence not yet supplied. Overseas elements present.,,Unknown
C-00025,2024-12-26T18:23:07+00:00,SMB,EU,Insurance,50k-250k,true,Business interruption may apply. Roof compromised. flood zone. Overseas elements present.,Client requested urgent callback.,Accepted
C-00026,2024-11-05T10:57:03+00:00,SMB,EU,Legal,<50k,true,Dispute escalated to legal threat. Time-sensitive response required. Policy schedule attached. Overseas elements present.,,Accepted
C-00027,2024-11-08T03:31:18+00:00,Enterprise,EU,Advisory,<50k,true,Operational risk assessment requested. Regulator engagement anticipated. low value.,,Unknown
C-00028,2024-12-31T07:59:17+00:00,Enterprise,US,Advisory,50k-250k,false,Client seeks decision support on risk controls. Regulator engagement anticipated. flood zone. Evidence not yet supplied.,Duplicate of earlier report suspected. Clarify scope and deliverables.,Unknown
C-00029,2024-11-24T02:39:13+00:00,Mid-Market,Other,Insurance,50k-250k,true,Loss event impacting property and contents. Basement affected. prior losses. Loss adjuster appointed.,,Unknown
C-00030,2024-11-10T04:25:07+00:00,SMB,EU,Advisory,250k-1m,true,Client seeks decision support on risk controls. Timeline not specified. flood zone 3.,Handler flagged missing attachments.,Unknown
C-00031,2024-10-04T03:07:58+00:00,SMB,Other,Advisory,>1m,true,Operational risk assessment requested. Stakeholders across multiple regions. Policy schedule attached.,,Unknown
C-00032,2024-10-04T20:08:58+00:00,Mid-Market,EU,Legal,50k-250k,false,Potential breach of contract raised. Jurisdiction disputed. flood zone 3.,,Unknown
C-00033,2024-10-31T17:09:55+00:00,Mid-Market,UK,Insurance,Unknown,true,Incident reported at commercial premises. Fire damage to warehouse. no supporting documentation. Loss adjuster appointed. Conflicting information reported by client.,,Unknown
C-00034,2024-10-29T08:40:06+00:00,Mid-Market,EU,Insurance,50k-250k,true,Business interruption may apply. Basement affected. governing law unclear. Supporting documents attached. Jurisdiction noted as EU.,,Unknown
C-00035,2024-10-06T00:47:49+00:00,SMB,UK,Insurance,Unknown,true,Damage reported following heavy rainfall. Roof compromised. small crack.,,Accepted
C-00036,2024-12-13T16:08:37+00:00,SMB,UK,Insurance,Unknown,true,Incident reported at commercial premises. Fire damage to warehouse. small crack.,Duplicate of earlier report suspected. Check coverage exclusions.,Accepted
C-00037,2024-12-12T13:18:16+00:00,SMB,UK,Insurance,>1m,true,Damage reported following heavy rainfall. Theft of equipment reported. regulator visit. Policy schedule attached.,Caller sounded uncertain; follow-up likely required.,Settled
C-00038,2024-12-19T02:37:19+00:00,Mid-Market,UK,Legal,250k-1m,false,IP infringement allegation received. Jurisdiction disputed. Evidence not yet supplied.,Client requested urgent callback.,Escalated
C-00039,2024-10-11T05:11:01+00:00,Mid-Market,UK,Insurance,<50k,true,Damage reported following heavy rainfall. Water ingress noted. Loss adjuster appointed.,Duplicate of earlier report suspected.,Unknown
C-00040,2024-10-26T06:37:28+00:00,Mid-Market,UK,Insurance,<50k,true,Incident reported at commercial premises. Fire damage to warehouse. minor. Police reference number provided.,,Rejected
C-00041,2024-10-12T13:47:41+00:00,Mid-Market,US,Advisory,<50k,true,Client requesting advice on regulatory exposure. Timeline not specified. Jurisdiction noted as US.,Client requested urgent callback.,Unknown
C-00042,2024-12-11T02:12:57+00:00,SMB,UK,Insurance,Unknown,true,Incident reported at commercial premises. Basement affected. Police reference number provided. Overseas elements present.,,Unknown
C-00043,2024-10-05T23:40:44+00:00,SMB,EU,Insurance,<50k,true,Client reports storm-related damage. Theft of equipment reported. Policy schedule attached.,No additional notes.,Unknown
C-00044,2024-10-14T20:02:29+00:00,Mid-Market,UK,Legal,<50k,true,IP infringement allegation received. Multiple parties named.,,Rejected
