case_id,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,historical_outcome,free_text_summary,handler_notes
C-00192,SMB,UK,Advisory,50k-250k,Yes,Accepted,Operational risk assessment requested. Timeline not specified.,Handler flagged missing attachments. Clarify scope and deliverables.
C-00265,SMB,EU,Legal,50k-250k,No,Accepted,Employment dispute raised by former contractor. Evidence currently limited. No policy documents attached. Conflicting information reported by client.,Duplicate of earlier report suspected.
C-00289,SMB,UK,Advisory,>1m,No,Escalated,Client seeks decision support on risk controls. Regulator engagement anticipated. regulator visit.,Handler flagged missing attachments.
C-00337,SMB,US,Insurance,50k-250k,Yes,Settled,Incident reported at commercial premises. Theft of equipment reported. storm damage. Police reference number provided.,"Potential conflict in dates, needs review."
C-00724,SMB,US,Insurance,250k-1m,Yes,Unknown,Business interruption may apply. Basement affected. ip infringement.,No data Available
C-00751,SMB,Other,Legal,Unknown,Yes,Unknown,Employment dispute raised by former contractor. Multiple parties named. Police reference number provided.,Duplicate of earlier report suspected.
C-00796,Mid-Market,UK,Legal,>1m,Yes,Unknown,Dispute escalated to legal threat. Evidence currently limited. injunction. Supporting documents attached. Conflicting information reported by client.,No additional notes.
C-01000,Mid-Market,EU,Insurance,>1m,Yes,Unknown,Client reports storm-related damage. Fire damage to warehouse. subsidence.,No additional notes.
C-01002,SMB,UK,Insurance,250k-1m,No,Accepted,Damage reported following heavy rainfall. Theft of equipment reported. flood zone 3. No policy documents attached.,"Potential conflict in dates, needs review."
C-01027,Mid-Market,UK,Insurance,<50k,Yes,Settled,Incident reported at commercial premises. Basement affected. low value. Loss adjuster appointed.,"Potential conflict in dates, needs review. Check coverage exclusions."
C-01043,Mid-Market,EU,Insurance,250k-1m,Yes,Rejected,Damage reported following heavy rainfall. Roof compromised. flood zone.,Handler flagged missing attachments.
C-01250,Mid-Market,UK,Insurance,Unknown,No,Unknown,Loss event impacting property and contents. Fire damage to warehouse. small crack.,"Potential conflict in dates, needs review."
C-01253,Enterprise,UK,Legal,>1m,Yes,Unknown,Dispute escalated to legal threat. Evidence currently limited. prior losses. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.
C-01491,Mid-Market,UK,Insurance,50k-250k,Yes,Unknown,Damage reported following heavy rainfall. Basement affected. Policy schedule attached. Overseas elements present.,Handler flagged missing attachments.
C-01628,Mid-Market,US,Legal,250k-1m,Yes,Escalated,Dispute escalated to legal threat. Multiple parties named. regulator visit. Policy schedule attached.,Handler flagged missing attachments.
C-01697,SMB,EU,Legal,<50k,Yes,Unknown,Dispute escalated to legal threat. Governing law unclear. Police reference number provided.,No data Available
C-01838,Enterprise,EU,Insurance,250k-1m,Yes,Accepted,Client reports storm-related damage. Roof compromised. data protection incident.,Duplicate of earlier report suspected.
C-01929,Enterprise,Other,Insurance,50k-250k,Yes,Accepted,Client reports storm-related damage. Basement affected. storm damage.,No data Available
C-02183,Enterprise,UK,Insurance,>1m,Yes,Escalated,Client reports storm-related damage. Theft of equipment reported. hurricane. Supporting documents attached.,No additional notes. Check coverage exclusions.
C-02227,Mid-Market,US,Insurance,50k-250k,Yes,Unknown,Client reports storm-related damage. Fire damage to warehouse. Policy schedule attached.,No data Available
C-02257,Mid-Market,US,Insurance,<50k,Yes,Unknown,Damage reported following heavy rainfall. Theft of equipment reported. small crack. Loss adjuster appointed.,No data Available
C-02428,SMB,UK,Insurance,50k-250k,Yes,Unknown,Business interruption may apply. Fire damage to warehouse. flood zone. Loss adjuster appointed.,Client requested urgent callback.
C-02430,SMB,UK,Advisory,<50k,Yes,Unknown,Strategic risk review requested following acquisition. Stakeholders across multiple regions. Policy schedule attached.,Caller sounded uncertain; follow-up likely required.
C-02467,SMB,UK,Legal,>1m,Yes,Unknown,Dispute escalated to legal threat. Jurisdiction disputed. flood zone 3.,Client requested urgent callback. Consider limitation periods.
C-02509,Mid-Market,UK,Insurance,>1m,No,Unknown,Client reports storm-related damage. Basement affected. Evidence not yet supplied.,"Potential conflict in dates, needs review."
C-02568,SMB,US,Legal,>1m,No,Settled,Dispute escalated to legal threat. Jurisdiction disputed. No policy documents attached.,Duplicate of earlier report suspected.
C-02646,Mid-Market,Other,Legal,50k-250k,Yes,Accepted,Dispute escalated to legal threat. Governing law unclear. Cross-border considerations likely.,Client requested urgent callback. Consider limitation periods.
C-02719,SMB,US,Insurance,250k-1m,No,Unknown,Client reports storm-related damage. Basement affected. No supporting documentation provided.,No data Available
C-02743,SMB,UK,Legal,50k-250k,Yes,Escalated,Formal letter received from counterparty. Multiple parties named. breach of contract. Jurisdiction noted as UK.,Handler flagged missing attachments.
C-02868,SMB,UK,Advisory,50k-250k,No,Unknown,Client seeks decision support on risk controls. No immediate dispute. No supporting documentation provided. Conflicting information reported by client.,No data Available
C-02875,Enterprise,No data Available,Advisory,>1m,No,Escalated,Strategic risk review requested following acquisition. Regulator engagement anticipated. No policy documents attached.,Client requested urgent callback.
C-02914,SMB,EU,Insurance,250k-1m,No,Accepted,Damage reported following heavy rainfall. Water ingress noted. data protection incident. No supporting documentation provided.,No data Available
C-03059,SMB,UK,Advisory,<50k,Yes,Accepted,Client seeks decision support on risk controls. No immediate dispute. no supporting documentation. Police reference number provided.,"Potential conflict in dates, needs review."
C-03208,Mid-Market,UK,Legal,250k-1m,Yes,Accepted,Employment dispute raised by former contractor. Multiple parties named. breach of contract. Jurisdiction noted as UK.,No data Available
C-03240,SMB,EU,Insurance,250k-1m,Yes,Accepted,Loss event impacting property and contents. Fire damage to warehouse. regulator visit. Police reference number provided.,Client requested urgent callback. Check coverage exclusions.
