case_id,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,historical_outcome,free_text_summary,handler_notes,severe_legal_or_regulatory_risk,business_critical_impact,potential_fraud,conflicting_information,complex_incident_details,policy_interpretation_issues,legal_disputes,jurisdictional_complexity,coverage_terms_unclear,exclusions_may_apply,new_or_unusual_claim_type,unclear_incident_description,claim_invalid_or_fraudulent,required_conditions_not_met,has_regulator_involvement,has_cross_border_elements,has_time_sensitivity,has_missing_documentation,mentions_fraud_or_arson,risk_summary
C-00192,SMB,UK,Advisory,50k-250k,Yes,Accepted,Operational risk assessment requested. Timeline not specified.,Handler flagged missing attachments. Clarify scope and deliverables.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"The handler noted missing attachments and requested clarification on the scope and deliverables, which indicates potential confusion or lack of clarity in the documentation."
C-00265,SMB,EU,Legal,50k-250k,No,Accepted,Employment dispute raised by former contractor. Evidence currently limited. No policy documents attached. Conflicting information reported by client.,Duplicate of earlier report suspected.,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,"The claim involves an employment dispute with conflicting information and limited evidence, raising concerns about missing documentation."
C-00289,SMB,UK,Advisory,>1m,No,Escalated,Client seeks decision support on risk controls. Regulator engagement anticipated. regulator visit.,Handler flagged missing attachments.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,The claim presents a severe legal or regulatory risk due to anticipated regulator engagement and identified missing documentation. There are conflicting information signals which could impact the claim's validity.
C-00337,SMB,US,Insurance,50k-250k,Yes,Settled,Incident reported at commercial premises. Theft of equipment reported. storm damage. Police reference number provided.,"Potential conflict in dates, needs review.",No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"There are indications of potential fraud due to theft and observed conflicting information about the incident dates, which may require further investigation."
C-00724,SMB,US,Insurance,250k-1m,Yes,Unknown,Business interruption may apply. Basement affected. ip infringement.,No data Available,Yes,Yes,No,No data available,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"The claim indicates a potential business interruption with legal disputes involved, specifically related to intellectual property infringement, thus posing significant business-critical risks."
C-00751,SMB,Other,Legal,Unknown,Yes,Unknown,Employment dispute raised by former contractor. Multiple parties named. Police reference number provided.,Duplicate of earlier report suspected.,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,"The claim involves an employment dispute with multiple parties, indicating potential complexity and conflicting information due to suspected duplication of reports. There is no current evidence of severe risk or fraudulent activity, but the presence of a police reference suggests a legal concern."
C-00796,Mid-Market,UK,Legal,>1m,Yes,Unknown,Dispute escalated to legal threat. Evidence currently limited. injunction. Supporting documents attached. Conflicting information reported by client.,No additional notes.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"The claim presents severe legal risks due to a dispute that has escalated to a legal threat, with conflicting information from the client and an injunction in place, indicating urgency."
C-01000,Mid-Market,EU,Insurance,>1m,Yes,Unknown,Client reports storm-related damage. Fire damage to warehouse. subsidence.,No additional notes.,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"The claim involves storm-related damage to a warehouse that also includes elements of fire damage and subsidence, suggesting complex incident details with potential significant business impact. Exclusions related to the cause of damage may apply."
C-01002,SMB,UK,Insurance,250k-1m,No,Accepted,Damage reported following heavy rainfall. Theft of equipment reported. flood zone 3. No policy documents attached.,"Potential conflict in dates, needs review.",No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,"The claim shows potential fraud indicators due to reported theft and conflict in dates, coupled with missing documentation, which raises concerns about the validity of the claim. Furthermore, the exclusions related to flood zone may apply."
C-01027,Mid-Market,UK,Insurance,<50k,Yes,Settled,Incident reported at commercial premises. Basement affected. low value. Loss adjuster appointed.,"Potential conflict in dates, needs review. Check coverage exclusions.",No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"The claim shows potential conflicting information regarding dates and may have coverage exclusions that need to be reviewed, leading to increased risk in the evaluation process."
C-01043,Mid-Market,EU,Insurance,250k-1m,Yes,Rejected,Damage reported following heavy rainfall. Roof compromised. flood zone.,Handler flagged missing attachments.,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,"The claim involves roof damage from heavy rainfall in a flood zone, but it has been flagged for missing documentation, raising concerns about compliance. Additionally, policy exclusions related to flood risks may apply."
C-01250,Mid-Market,UK,Insurance,Unknown,No,Unknown,Loss event impacting property and contents. Fire damage to warehouse. small crack.,"Potential conflict in dates, needs review.",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"The claim involves significant fire damage to a warehouse, indicating a potential business-critical impact. However, there is conflicting information regarding dates that requires further investigation."
C-01253,Enterprise,UK,Legal,>1m,Yes,Unknown,Dispute escalated to legal threat. Evidence currently limited. prior losses. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,"The claim has escalated to a legal dispute with limited evidence, indicating potential risks. Conflicting information and time sensitivity regarding limitation periods are also notable factors."
C-01491,Mid-Market,UK,Insurance,50k-250k,Yes,Unknown,Damage reported following heavy rainfall. Basement affected. Policy schedule attached. Overseas elements present.,Handler flagged missing attachments.,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,The claim involves damage from heavy rainfall affecting the basement and has overseas elements present. Concerns include conflicting information due to missing documentation and potential jurisdictional complexities.
C-01628,Mid-Market,US,Legal,250k-1m,Yes,Escalated,Dispute escalated to legal threat. Multiple parties named. regulator visit. Policy schedule attached.,Handler flagged missing attachments.,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,"The claim involves a legal dispute with multiple parties and has escalated to a legal threat, raising concerns of severe regulatory risk. Additionally, there are missing attachments that the handler flagged, which could complicate the resolution."
